iter	Passed	Remaining
0	0	57
1	1	59
2	1	54
3	2	48
4	2	47
5	2	46
6	3	45
7	4	47
8	4	46
9	5	45
10	5	44
11	6	44
12	6	44
13	7	43
14	7	43
15	8	42
16	9	44
17	11	53
18	12	52
19	14	56
20	14	55
21	15	54
22	15	52
23	16	51
24	16	50
25	17	48
26	18	49
27	18	48
28	19	46
29	19	45
30	20	44
31	20	43
32	20	42
33	21	41
34	21	40
35	22	39
36	22	38
37	23	37
38	23	37
39	24	36
40	28	40
41	28	39
42	29	38
43	29	37
44	30	37
45	30	36
46	31	35
47	32	34
48	32	33
49	33	33
50	33	32
51	34	31
52	34	30
53	35	29
54	35	28
55	35	28
56	36	27
57	36	26
58	37	25
59	37	25
60	38	24
61	44	27
62	44	26
63	44	25
64	45	24
65	45	23
66	46	22
67	47	22
68	47	21
69	48	20
70	48	19
71	49	19
72	49	18
73	50	17
74	51	17
75	51	16
76	51	15
77	52	14
78	52	14
79	53	13
80	53	12
81	56	12
82	57	11
83	57	11
84	58	10
85	58	9
86	60	8
87	60	8
88	61	7
89	61	6
90	61	6
91	62	5
92	62	4
93	63	4
94	63	3
95	64	2
96	64	2
97	65	1
98	66	0
99	66	0
