iter	Passed	Remaining
0	57	57894
1	58	29241
2	59	19673
3	59	14888
4	60	12021
5	60	10101
6	61	8739
7	62	7709
8	62	6904
9	63	6261
10	63	5740
11	64	5305
12	64	4932
13	65	4614
14	66	4338
15	66	4097
16	67	3897
17	68	3717
18	68	3550
19	69	3401
20	69	3262
21	70	3135
22	71	3018
23	71	2912
24	72	2813
25	72	2723
26	73	2641
27	73	2566
28	74	2492
29	75	2426
30	75	2363
31	76	2306
32	76	2250
33	77	2197
34	77	2147
35	78	2099
36	78	2054
37	79	2012
38	80	1973
39	80	1935
40	81	1901
41	81	1870
42	82	1838
43	83	1806
44	83	1777
45	84	1748
46	84	1720
47	85	1694
48	86	1670
49	86	1646
50	87	1623
51	87	1602
52	88	1581
53	89	1560
54	89	1539
55	90	1519
56	90	1500
57	91	1482
58	91	1465
59	92	1447
60	92	1430
61	93	1415
62	94	1400
63	94	1386
64	95	1371
65	96	1359
66	96	1348
67	97	1335
68	98	1322
69	98	1310
70	99	1297
71	99	1285
72	100	1273
73	100	1261
74	101	1250
75	101	1239
76	102	1229
77	103	1218
78	103	1208
79	104	1198
80	104	1189
81	105	1179
82	105	1167
83	106	1158
84	106	1149
85	107	1140
86	107	1132
87	108	1124
88	109	1117
89	110	1119
90	111	1113
91	112	1106
92	112	1101
93	113	1094
94	114	1088
95	114	1081
96	115	1074
97	116	1067
98	116	1060
99	117	1053
100	117	1047
101	118	1040
102	118	1034
103	119	1028
104	119	1022
105	120	1016
106	121	1010
107	121	1004
108	122	999
109	122	993
110	123	988
111	124	983
112	124	977
113	125	972
114	125	968
115	126	963
116	126	957
117	127	952
118	128	947
119	128	942
120	129	937
121	129	932
122	130	928
123	130	923
124	131	918
125	131	914
126	132	909
127	132	905
128	133	901
129	134	897
130	134	892
131	135	888
132	135	884
133	136	881
134	137	878
135	137	874
136	138	870
137	138	866
138	139	863
139	140	860
140	140	857
141	141	852
142	141	849
143	142	845
144	142	842
145	143	839
146	144	836
147	144	833
148	145	829
149	145	826
150	146	823
151	146	819
152	147	816
153	148	813
154	148	810
155	149	807
156	149	804
157	150	801
158	151	798
159	151	795
160	151	791
161	152	788
162	153	786
163	154	788
164	155	787
165	156	785
166	156	783
167	157	780
168	158	778
169	158	775
170	159	773
171	160	770
172	160	768
173	161	766
174	161	763
175	162	760
176	163	758
177	163	755
178	164	753
179	164	750
180	165	748
181	165	745
182	166	742
183	166	740
184	167	737
185	167	735
186	168	733
187	169	731
188	169	729
189	170	726
190	170	724
191	171	721
192	172	719
193	172	717
194	173	714
195	173	712
196	174	710
197	174	708
198	175	705
199	175	703
200	176	701
201	176	698
202	177	696
203	178	694
204	178	692
205	179	690
206	179	688
207	180	686
208	180	684
209	181	682
210	181	680
211	182	678
212	183	676
213	183	674
214	184	673
215	184	671
216	185	669
217	186	667
218	186	665
219	187	663
220	187	661
221	188	659
222	188	657
223	189	656
224	189	654
225	190	652
226	191	650
227	191	649
228	192	647
229	192	645
230	193	643
231	193	642
232	194	640
233	194	638
234	195	636
235	195	634
236	196	632
237	196	630
238	197	628
239	197	626
240	198	624
241	198	622
242	199	621
243	200	621
244	201	621
245	202	619
246	202	617
247	202	615
248	203	613
249	203	611
250	204	609
251	204	607
252	205	605
253	206	605
254	207	605
255	207	604
256	208	602
257	208	600
258	209	598
259	209	596
260	210	595
261	211	596
262	212	596
263	213	596
264	214	595
265	214	593
266	215	591
267	215	589
268	216	587
269	216	586
270	217	584
271	217	582
272	218	580
273	218	578
274	218	577
275	219	575
276	219	573
277	220	573
278	221	571
279	221	569
280	222	568
281	222	566
282	222	564
283	223	563
284	223	561
285	224	559
286	224	558
287	225	556
288	225	555
289	226	553
290	226	551
291	226	550
292	227	548
293	227	547
294	228	545
295	228	544
296	229	542
297	230	542
298	230	540
299	231	539
300	231	537
301	231	536
302	232	534
303	232	533
304	233	531
305	233	530
306	234	528
307	234	527
308	235	525
309	235	524
310	235	522
311	236	521
312	236	519
313	237	518
314	237	516
315	238	515
316	238	514
317	239	513
318	239	512
319	240	510
320	240	509
321	241	508
322	241	506
323	242	505
324	243	504
325	243	503
326	244	502
327	244	501
328	245	500
329	245	499
330	246	497
331	246	496
332	247	495
333	248	494
334	248	493
335	248	491
336	249	490
337	249	489
338	250	487
339	250	486
340	251	485
341	251	484
342	252	482
343	252	481
344	252	480
345	253	478
346	253	477
347	254	476
348	254	475
349	255	474
350	255	473
351	256	471
352	256	470
353	257	469
354	257	468
355	258	466
356	258	465
357	258	464
358	259	463
359	259	461
360	260	460
361	260	459
362	261	458
363	261	457
364	262	455
365	262	454
366	262	453
367	263	452
368	264	451
369	264	450
370	265	449
371	265	448
372	266	447
373	266	446
374	267	445
375	268	444
376	268	443
377	269	442
378	269	441
379	270	441
380	271	441
381	272	441
382	273	440
383	274	439
384	274	438
385	275	437
386	275	436
387	276	435
388	276	434
389	277	433
390	277	432
391	278	431
392	278	430
393	279	429
394	279	428
395	280	427
396	280	426
397	281	425
398	281	424
399	282	423
400	282	422
401	283	421
402	283	420
403	284	419
404	284	418
405	285	417
406	286	417
407	288	418
408	289	418
409	290	417
410	290	416
411	291	415
412	291	414
413	292	413
414	292	412
415	293	411
416	293	410
417	294	409
418	294	408
419	295	407
420	295	407
421	296	406
422	297	405
423	297	404
424	298	403
425	298	402
426	299	401
427	299	400
428	300	400
429	302	400
430	303	400
431	303	399
432	304	398
433	305	397
434	305	396
435	305	395
436	306	395
437	307	394
438	307	393
439	308	392
440	308	391
441	309	390
442	309	389
443	310	388
444	310	387
445	311	386
446	311	385
447	312	384
448	312	384
449	313	383
450	313	382
451	314	381
452	315	380
453	316	380
454	316	379
455	317	378
456	317	377
457	318	376
458	319	376
459	319	375
460	320	374
461	320	373
462	321	372
463	321	371
464	322	370
465	322	369
466	323	369
467	323	368
468	324	367
469	324	366
470	325	365
471	325	364
472	326	363
473	326	362
474	327	361
475	327	360
476	328	359
477	328	359
478	329	358
479	330	357
480	330	356
481	331	356
482	331	355
483	332	354
484	332	353
485	333	352
486	333	351
487	334	350
488	334	349
489	335	349
490	335	348
491	336	347
492	336	346
493	337	345
494	337	344
495	338	343
496	338	342
497	339	342
498	339	341
499	340	340
500	340	339
501	341	338
502	341	337
503	342	336
504	342	336
505	343	335
506	344	334
507	344	334
508	345	333
509	346	332
510	346	331
511	347	331
512	348	330
513	351	332
514	352	332
515	353	331
516	353	330
517	354	329
518	355	329
519	355	328
520	356	327
521	357	327
522	358	326
523	358	325
524	359	325
525	360	324
526	361	324
527	361	323
528	362	322
529	362	321
530	363	320
531	363	320
532	364	319
533	365	318
534	365	317
535	366	317
536	366	316
537	367	315
538	367	314
539	368	313
540	369	313
541	369	312
542	370	311
543	370	310
544	371	309
545	371	308
546	372	308
547	372	307
548	373	306
549	373	305
550	374	305
551	375	304
552	375	303
553	376	303
554	376	302
555	377	301
556	378	300
557	378	299
558	379	299
559	379	298
560	380	297
561	380	296
562	381	296
563	381	295
564	382	294
565	382	293
566	383	292
567	384	292
568	384	291
569	385	290
570	385	289
571	386	288
572	386	288
573	387	287
574	387	286
575	388	285
576	389	285
577	390	284
578	390	283
579	391	283
580	391	282
581	391	281
582	392	280
583	392	279
584	393	279
585	394	278
586	394	277
587	395	276
588	395	276
589	396	275
590	396	274
591	397	273
592	398	273
593	398	272
594	399	271
595	399	270
596	400	270
597	400	269
598	401	268
599	401	267
600	402	267
601	402	266
602	403	265
603	404	264
604	404	264
605	405	263
606	405	262
607	406	262
608	407	261
609	408	261
610	408	260
611	409	259
612	409	258
613	410	257
614	410	257
615	411	256
616	411	255
617	411	254
618	412	253
619	412	253
620	413	252
621	413	251
622	415	251
623	416	250
624	417	250
625	419	250
626	420	250
627	420	249
628	421	248
629	421	247
630	422	246
631	422	246
632	423	245
633	423	244
634	424	243
635	424	242
636	424	242
637	425	241
638	425	240
639	426	239
640	426	238
641	427	238
642	427	237
643	428	236
644	450	248
645	451	247
646	451	246
647	452	245
648	452	244
649	453	243
650	453	243
651	453	242
652	454	241
653	454	240
654	455	239
655	455	238
656	456	238
657	457	237
658	458	237
659	458	236
660	459	235
661	459	234
662	460	233
663	460	233
664	461	232
665	461	231
666	462	230
667	462	229
668	462	229
669	463	228
670	463	227
671	464	226
672	464	225
673	465	225
674	466	224
675	467	223
676	468	223
677	469	222
678	469	222
679	470	221
680	470	220
681	471	220
682	472	219
683	473	218
684	474	218
685	476	218
686	476	217
687	477	216
688	477	215
689	478	214
690	478	214
691	479	213
692	479	212
693	480	211
694	480	210
695	480	210
696	481	209
697	481	208
698	482	207
699	486	208
700	488	208
701	488	207
702	489	206
703	490	206
704	490	205
705	491	204
706	491	203
707	492	203
708	492	202
709	493	201
710	494	200
711	494	200
712	496	199
713	496	199
714	498	198
715	498	197
716	499	197
717	500	196
718	500	195
719	514	199
720	515	199
721	515	199
722	515	197
723	516	197
724	517	196
725	518	195
726	519	195
727	520	194
728	520	193
729	521	193
730	523	192
731	523	192
732	524	191
733	524	190
734	525	189
735	525	188
736	527	188
737	527	187
738	527	186
739	528	185
740	528	185
741	529	184
742	529	183
743	530	182
744	530	181
745	531	181
746	534	181
747	535	180
748	536	180
749	536	179
750	537	178
751	537	177
752	538	176
753	538	175
754	539	175
755	539	174
756	540	173
757	540	172
758	541	172
759	541	171
760	542	170
761	542	169
762	543	168
763	544	168
764	544	167
765	545	166
766	553	168
767	553	167
768	554	166
769	554	165
770	554	165
771	555	164
772	555	163
773	557	162
774	557	162
775	558	161
776	570	163
777	570	163
778	571	162
779	571	161
780	572	160
781	575	160
782	575	159
783	576	158
784	590	162
785	591	161
786	592	160
787	592	159
788	596	159
789	596	158
790	597	158
791	598	157
792	599	156
793	599	155
794	600	154
795	600	154
796	601	153
797	601	152
798	602	151
799	602	150
800	603	150
801	603	149
802	604	148
803	604	147
804	605	146
805	628	151
806	629	150
807	630	149
808	630	149
809	632	148
810	633	147
811	634	146
812	634	146
813	635	145
814	636	144
815	637	143
816	638	143
817	640	142
818	641	141
819	642	141
820	642	140
821	660	143
822	662	142
823	662	141
824	663	141
825	665	140
826	665	139
827	668	138
828	669	138
829	675	138
830	679	138
831	691	139
832	691	139
833	692	138
834	699	138
835	703	138
836	704	137
837	704	136
838	705	135
839	705	134
840	706	133
841	707	133
842	714	133
843	715	132
844	716	131
845	728	132
846	729	132
847	731	131
848	733	130
849	744	131
850	760	133
851	760	132
852	763	131
853	769	131
854	769	131
855	776	131
856	780	130
857	781	129
858	782	128
859	783	127
860	784	127
861	785	126
862	786	125
863	787	124
864	787	124
865	791	123
866	794	122
867	798	121
868	800	121
869	802	120
870	803	119
871	804	118
872	826	120
873	827	119
874	827	118
875	828	117
876	828	116
877	828	115
878	829	114
879	829	113
880	830	112
881	862	115
882	870	115
883	870	114
884	871	113
885	871	112
886	871	111
887	872	110
888	872	109
889	873	108
890	873	107
891	874	106
892	874	105
893	875	104
894	876	103
895	879	102
896	880	101
897	880	100
898	881	99
899	883	98
900	884	97
901	885	96
902	887	95
903	912	97
904	928	97
905	965	100
906	965	99
907	965	98
908	966	97
909	966	96
910	967	94
911	967	93
912	968	92
913	968	91
914	969	90
915	969	89
916	970	88
917	970	87
918	971	85
919	982	85
920	989	85
921	994	84
922	999	83
923	1000	82
924	1004	81
925	1005	80
926	1006	79
927	1007	78
928	1008	77
929	1008	76
930	1067	79
931	1067	78
932	1068	77
933	1068	75
934	1069	74
935	1069	73
936	1070	72
937	1071	71
938	1071	69
939	1072	68
940	1072	67
941	1073	66
942	1075	65
943	1077	64
944	1077	62
945	1078	61
946	1079	60
947	1080	59
948	1083	58
949	1086	57
950	1086	56
951	1087	55
952	1087	53
953	1088	52
954	1088	51
955	1089	50
956	1089	49
957	1090	47
958	1090	46
959	1091	45
960	1091	44
961	1092	43
962	1094	42
963	1095	41
964	1096	39
965	1096	38
966	1097	37
967	1098	36
968	1100	35
969	1100	34
970	1101	33
971	1101	31
972	1102	30
973	1102	29
974	1104	28
975	1104	27
976	1170	27
977	1173	26
978	1174	25
979	1175	24
980	1175	22
981	1182	21
982	1182	20
983	1183	19
984	1183	18
985	1184	16
986	1185	15
987	1186	14
988	1186	13
989	1186	12
990	1187	10
991	1187	9
992	1188	8
993	1188	7
994	1189	6
995	1190	4
996	1205	3
997	1205	2
998	1206	1
999	1207	0
